graph,grammar,category,query_class,num_reachable_pairs
imagick,vf.cnf,context_sensitive_data_flow,cfpq,12687034
imagick_field_sensitive_alias,aa.cnf,field_sensitive_alias,cfpq,369956094
init,c_alias.cnf,c_alias_analysis,cfpq,3783769
ipc,c_alias.cnf,c_alias_analysis,cfpq,5249389
itsdangerous,prov_derivation.cnf,data_provenance,cfpq,2912
jackson,java_points_to.cnf,java_points_to,cfpq,3108775
jiaozi,name_resolution.cnf,name_resolution,cfpq,14435
jinja,prov_derivation.cnf,data_provenance,cfpq,7436
jsonpath,name_resolution.cnf,name_resolution,cfpq,59764
junit5,java_points_to.cnf,java_points_to,cfpq,129598
jython,java_points_to.cnf,java_points_to,cfpq,561720
kernel,c_alias.cnf,c_alias_analysis,cfpq,16747731
leela,vf.cnf,context_sensitive_data_flow,cfpq,662466
leela_field_sensitive_alias,aa.cnf,field_sensitive_alias,cfpq,3968276
lib,c_alias.cnf,c_alias_analysis,cfpq,5276303
libgdx,name_resolution.cnf,name_resolution,cfpq,
ls,c_alias.cnf,c_alias_analysis,cfpq,854
luindex,java_points_to.cnf,java_points_to,cfpq,176051
lusearch,java_points_to.cnf,java_points_to,cfpq,43719
mm,c_alias.cnf,c_alias_analysis,cfpq,3990305
mockito,java_points_to.cnf,java_points_to,cfpq,16169
nab,vf.cnf,context_sensitive_data_flow,cfpq,739646
nab_field_sensitive_alias,aa.cnf,field_sensitive_alias,cfpq,262566
net,c_alias.cnf,c_alias_analysis,cfpq,8833403
omnetpp,vf.cnf,context_sensitive_data_flow,cfpq,8424500
omnetpp_field_sensitive_alias,aa.cnf,field_sensitive_alias,cfpq,158255766
pandas,prov_derivation.cnf,data_provenance,cfpq,154646
parest,vf.cnf,context_sensitive_data_flow,cfpq,1342540
parest_field_sensitive_alias,aa.cnf,field_sensitive_alias,cfpq,49415038
pathways,nested_parentheses_subClassOf.cnf,rdf,cfpq,883
pathways,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,884
pathways,nested_parentheses_type.cnf,rdf,cfpq,2
people,nested_parentheses_subClassOf.cnf,rdf,cfpq,24
people,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,51
people,nested_parentheses_type.cnf,rdf,cfpq,29
perlbench,vf.cnf,context_sensitive_data_flow,cfpq,297504186
perlbench_field_sensitive_alias,aa.cnf,field_sensitive_alias,cfpq,851737865
pizza,nested_parentheses_subClassOf.cnf,rdf,cfpq,1334
pizza,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,1356
pizza,nested_parentheses_type.cnf,rdf,cfpq,20
pluggy,prov_derivation.cnf,data_provenance,cfpq,880
pmd,java_points_to.cnf,java_points_to,cfpq,137120
postgre,c_alias.cnf,c_alias_analysis,cfpq,90661446
povray,vf.cnf,context_sensitive_data_flow,cfpq,34599413
povray_field_sensitive_alias,aa.cnf,field_sensitive_alias,cfpq,27219043
pr,c_alias.cnf,c_alias_analysis,cfpq,385
requests,prov_derivation.cnf,data_provenance,cfpq,2524
sampleproject,prov_derivation.cnf,data_provenance,cfpq,342
scikit-learn,prov_derivation.cnf,data_provenance,cfpq,217728
security,c_alias.cnf,c_alias_analysis,cfpq,5593387
shattered_pixel_dungeon,name_resolution.cnf,name_resolution,cfpq,971998
skos,nested_parentheses_subClassOf.cnf,rdf,cfpq,1
skos,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,30
skos,nested_parentheses_type.cnf,rdf,cfpq,29
sound,c_alias.cnf,c_alias_analysis,cfpq,6085269
sphinx,prov_derivation.cnf,data_provenance,cfpq,304084
sunflow,java_points_to.cnf,java_points_to,cfpq,35209
superset,prov_derivation.cnf,data_provenance,cfpq,97460
taxonomy,nested_parentheses_subClassOf.cnf,rdf,cfpq,151703
taxonomy,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,151706
taxonomy,nested_parentheses_type.cnf,rdf,cfpq,4
taxonomy_hierarchy,nested_parentheses_subClassOf.cnf,rdf,cfpq,5351657
taxonomy_hierarchy,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,5351657
taxonomy_hierarchy,nested_parentheses_type.cnf,rdf,cfpq,0
tomcat,java_points_to.cnf,java_points_to,cfpq,3792543
tradebeans,java_points_to.cnf,java_points_to,cfpq,34370090
tradesoap,java_points_to.cnf,java_points_to,cfpq,34451130
travel,nested_parentheses_subClassOf.cnf,rdf,cfpq,33
travel,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,52
travel,nested_parentheses_type.cnf,rdf,cfpq,19
unigraph_1,unigraph_1.cnf,biological_uniprot,cfpq,376578
unigraph_10,unigraph_10.cnf,biological_uniprot,cfpq,
unigraph_2,unigraph_2.cnf,biological_uniprot,cfpq,39888347
unigraph_3,unigraph_3.cnf,biological_uniprot,cfpq,52471840
unigraph_4,unigraph_4.cnf,biological_uniprot,cfpq,808091802
unigraph_5,unigraph_5.cnf,biological_uniprot,cfpq,2303590109
unigraph_6,unigraph_6.cnf,biological_uniprot,cfpq,1722963921
unigraph_7,unigraph_7.cnf,biological_uniprot,cfpq,2320964134
unigraph_8,unigraph_8.cnf,biological_uniprot,cfpq,
unigraph_9,unigraph_9.cnf,biological_uniprot,cfpq,
univ,nested_parentheses_subClassOf.cnf,rdf,cfpq,17
univ,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,25
univ,nested_parentheses_type.cnf,rdf,cfpq,6
wc,c_alias.cnf,c_alias_analysis,cfpq,156
wikipedia-provenance,prov_derivation.cnf,data_provenance,cfpq,1732
wine,nested_parentheses_subClassOf.cnf,rdf,cfpq,499
wine,nested_parentheses_subClassOf_type.cnf,rdf,cfpq,565
wine,nested_parentheses_type.cnf,rdf,cfpq,65
x264,vf.cnf,context_sensitive_data_flow,cfpq,20259480
x264_field_sensitive_alias,aa.cnf,field_sensitive_alias,cfpq,5246565
xalan,java_points_to.cnf,java_points_to,cfpq,1138776
xz,vf.cnf,context_sensitive_data_flow,cfpq,358834
xz_field_sensitive_alias,aa.cnf,field_sensitive_alias,cfpq,205164
zulip,prov_derivation.cnf,data_provenance,cfpq,209908
